gen,nevals,Best Fitness
1,30,0.8989690542221069
2,20,0.8989690542221069
3,16,0.9010308980941772
4,22,0.9092783331871033
5,22,0.9092783331871033
6,15,0.9092783331871033
7,16,0.9092783331871033
8,24,0.9123711585998535
9,18,0.9123711585998535
10,20,0.9123711585998535
11,16,0.9123711585998535
12,18,0.9123711585998535
13,19,0.9123711585998535
14,16,0.9123711585998535
15,16,0.9123711585998535
1,30,0.9330922365188599
2,19,0.9330922365188599
3,24,0.9367088675498962
4,20,0.9367088675498962
5,24,0.938517153263092
6,23,0.938517153263092
7,18,0.938517153263092
8,20,0.938517153263092
9,18,0.938517153263092
10,18,0.938517153263092
11,19,0.938517153263092
12,17,0.938517153263092
13,17,0.938517153263092
14,18,0.9403254985809326
15,20,0.9403254985809326
